company,region,city,state,phone_normalized,owner_or_manager,website,email,fit_score,pain_signal,next_action,status,notes
Lilley Air Conditioning INC,Central Inland Florida,Lakeland,FL,(863) 644-0496,Robert B Lilley,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC018967; address=4141 DRANE FIELD ROAD; zip=33811-1291; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Michael Pollitt INCorporated,Central Inland Florida,Avon Park,FL,(863) 443-0182,Taylor N Painter,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1823316; address=1200 US HIGHWAY 27 S; zip=33825; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Millers Central Air INC,Central Inland Florida,Lake Placid,FL,(863) 699-5455,Frederick Miller,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC058675; address=20 W INTERLAKE BLVD; zip=33852; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Miners Refrigeration LLC,Central Inland Florida,Fort Myers,FL,(863) 447-7523,Curtis A Miners Ii,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1818893; address=14090 Benedict St.; zip=33905; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
One Source Air LLC,Central Inland Florida,Okeechobee,FL,(863) 801-4036,Daniel Serrano,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1822060; address=2500 SW 3RD AVE; zip=34974; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Orangeflo Construction Technologies,Central Inland Florida,Winter Haven,FL,(863) 399-2950,James Agnello,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1815219; address=125 GREENVIEW DRIVE; zip=33881; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Phillips AC And Heating Services LLC,Central Inland Florida,Labelle,FL,(863) 675-2878,Wynn M Phillips,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1815266; address=P O BOX 1316; zip=33975; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Polar Air Services INC,Central Inland Florida,Lake Hamilton,FL,(863) 439-5322,Kenneth E Clements,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC058651; address=PO BOX 524; zip=33851; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Refrigeration And Electric Service INC,Central Inland Florida,Winter Haven,FL,(863) 293-2145,Dixon C Jermaine,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1823177; address=435 6TH ST SW; zip=33880; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Taylor Electric And Air Conditioning INC,Central Inland Florida,Clewiston,FL,(863) 805-8724,James L Taylor,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1818378; address=PO BOX 216; zip=33440; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Top Notch Air Conditioning And Heat,Central Inland Florida,Winter Haven,FL,(863) 875-5500,Christopher A Hutton,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1817537; address=164 SPIRIT LAKE RD; zip=33880; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Tropical Supply LLC,Central Inland Florida,Auburndale,FL,(863) 576-5413,George E Barguil,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1819385; address=305 MAGNOLIA AVE; zip=33823; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
United Sheet Metal And Air Conditioning INC,Central Inland Florida,Lakeland,FL,(863) 669-1322,Steven Lascola,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1819393; address=215 Contractors Way; zip=33801; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Wyatt Fitzgibbons Sheet Metal INC,Central Inland Florida,Lakeland,FL,(863) 683-7759,Larry Mcdermott,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CMC1250662; address=905 Strain Blvd; zip=33815; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
10-8 HVAC LLC,Florida,Cape Coral,FL,(240) 688-8761,Michael D Bonsby,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1823693; address=4112 NW 11TH STREET; zip=33993; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
A Excellent Service INC,Florida,Pompano Beach,FL,(866) 946-9494,Walter Weiss Jr,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC024382; address=PO BOX 11214; zip=33061; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Abc Contractor LLC,Florida,Tampa,FL,(832) 987-5193,Rigoberto Torres Napoles,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1823609; address=3133 W POWHATAN AVE; zip=33614; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Air Experts,Florida,Sarasota,FL,(864) 506-5804,Ryan M Diedrich,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1816885; address=1715 INDEPENDENCE BLVD STE B-1; zip=34209; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Alex And Son Heating And Cooling LLC,Florida,Lutz,FL,(827) 051-6713,Christopher Gonzalez,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1822572; address=14822 N 20TH ST; zip=33549; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Be Kool LLC,Florida,Cape Coral,FL,(952) 688-2221,Duy Tin Nguyen,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1822658; address=1102 NW 19TH ST; zip=33993; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Blizzard Conditions Air And LLC,Florida,Sarasota,FL,(517) 242-4108,Matthew Blizzard,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1819855; address=2535 GOLDEN POINCIANA PLACE; zip=34232; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Bravotampa LLC,Florida,Zephyrhills,FL,(313) 475-0829,Joel Shafer,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1822955; address=37549 NEUKOM AVE; zip=33541; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Bry Aire LLC,Florida,Tampa,FL,(619) 549-3333,Charles L Roberts Ii,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1821634; address=3211 W GRACE ST; zip=33607; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Circa Service Fl LLC,Florida,Lake Worth,FL,(866) 479-9566,Paul Kinser,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1822323; address=6454 BRECKENRIDGE CIRCLE; zip=33467; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Clauger Usa LLC,Florida,Jacksonville,FL,(215) 463-3189,Benjamin Sealy,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1819057; address=12276 SAN JOSE BLVD | STE 410; zip=32223; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Coastline Cooling LLC,Florida,Stuart,FL,(877) 382-6363,Bryon Lee Miller,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1815840; address=7697 SW ELLIPSE WAY; zip=34997; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Cool Cats Cooling INC,Florida,Boynton Beach,FL,(347) 247-9575,Russell Brian Jennings,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC023511; address=12937 COCOA PINE DRIVE; zip=33436; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Dbr Mechanical LLC,Florida,Riverview,FL,(224) 522-2690,Daniel Rios,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1824634; address=11316 MISTY ISLE LN; zip=33579; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Douglas Taylor Air Conditioning And Refrigeration INC,Florida,Largo,FL,(866) 507-9144,Douglas S Taylor,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1813709; address=6560 116TH AVE N STE A; zip=33773; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Ferguson Refrigeration And HVAC Services LLC,Florida,Daytona Beach,FL,(302) 275-6260,Kevin Ferguson,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1821916; address=303 LAST MANGO DR; zip=32124; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Georgia Air And Refrigeration INC,Florida,Jacksonville,FL,(678) 707-3525,Michael L Bond,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1818608; address=9456 PHILIPS HWY STE 2; zip=32256; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Good Quality Restoration LLC,Florida,Bradenton,FL,(877) 508-0722,Jorge Alejandro Garcia Fernandez,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1824360; address=13949 LILAC SKY TER; zip=34211; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Harbor Air Conditioning LLC,Florida,Miami,FL,(219) 869-7937,Jose Hernandez,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1824325; address=710 NE 1ST AVE | APT 3915; zip=33132; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Heatwave Hcp INC,Florida,Pinellas Park,FL,(815) 791-0126,Daniel Billingsley,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1819164; address=10161 49TH ST N | STE A; zip=33782; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Helios HVACr Services LLC,Florida,Maitland,FL,(888) 246-0595,Norton Jones,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1817186; address=601 S LAKE DESTINY DR | STE 200; zip=32751; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Hill York Service Company LLC,Florida,Fort Lauderdale,FL,(866) 525-4200,Michael J Senecal Jr,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CMC1250643; address=2125 S ANDREWS AVE; zip=33316; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Lint Out Of Sw Fl INC,Florida,Fort Myers,FL,(920) 889-7787,Alex Fite,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1819649; address=12331 TOWNE LAKE DR | UNIT 6; zip=33913; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Lux Cooling LLC,Florida,Cape Coral,FL,(860) 944-7577,Oscar Rodriguez,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1822093; address=637 SE 21ST AVE; zip=33990; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Nichols Contracting INCorporated,Florida,Royal Palm Beach,FL,(301) 529-8041,Gregory J Greseth,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1820514; address=260 BUSINESS PARK WAY | A; zip=33411; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Powerhouse Electrical Service,Florida,Fort Myers,FL,(844) 671-7938,Perry J Hodges,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1815613; address=17051 ALICO COMMERCE CT #3; zip=33967; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Professional Electric Corp,Florida,West Palm Beaach,FL,(461) 441-9968,Carlos E Rojas,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1820745; address=464 VIA HERMOSA; zip=33415; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Qt Conditioned Air LLC,Florida,Cape Coral,FL,(757) 761-8726,Quan Tran,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1820460; address=127 SW 19TH TERRACE; zip=33991; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
R And R Refrigeration And AC Service INC,Florida,Hialeah,FL,(800) 437-0984,Roberto Chavez,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1818046; address=142 E 45 ST; zip=33013; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Reach Air Solutions LLC,Florida,Apollo Beach,FL,(630) 885-4218,Dustin J Reach,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1821264; address=6622 CLAIR SHORE DR; zip=33572; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Servicetechpros,Florida,Cape Coral,FL,(508) 789-0845,Richard Mullin,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1821534; address=3709 NE 15TH PL; zip=33909; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Stan Perkoskis Home Services,Florida,Cape Coral,FL,(302) 540-3999,Stanley Perkoski Jr,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1821984; address=941 SE 43RD TERRACE; zip=33904; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Strada Services INC Dba Strada Air Conditioning,Florida,Sanford,FL,(877) 906-1113,Joseph Strada,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC043953; address=3400 ST JOHNS PARKWAY; zip=32771; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Tls Energy Savers LLC,Florida,Punta Gorda,FL,(833) 587-7283,Seth Hoerig,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1822364; address=30060 BERMONT ROAD; zip=33982; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Wright Resources LLC,Florida,Rotonda West,FL,(800) 484-2827,Michael Shane Moore,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1821792; address=210 CADDY RD; zip=33947; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Air Innovations LLC,Jacksonville / Northeast Florida,Keystone Heights,FL,(904) 596-0555,Scott T Oclon,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1822257; address=5048 SHADY CREEK DR; zip=32656; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Ajax Air LLC,Jacksonville / Northeast Florida,Jacksonville,FL,(904) 382-5259,Anthony J Hines,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1819919; address=6330 OLD KINGS RD; zip=32219; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Crosswinds Heating And Air LLC,Jacksonville / Northeast Florida,Middleburg,FL,(904) 872-2070,Brandon M Vamos,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1822331; address=4012 MICHAELWOOD RD; zip=32068; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Dave Scotts Heating And Air LLC,Jacksonville / Northeast Florida,Green Cove Springs,FL,(904) 438-9227,Arthur D Scott,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1814204; address=3036 HENLEY RD; zip=32043; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Double H Air Conditioning And Heating INC,Jacksonville / Northeast Florida,Jacksonville,FL,(904) 759-3968,Harriel J Horace,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1813468; address=6318 RESTLAWN DR; zip=32208; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Floridian Heating And Air INC,Jacksonville / Northeast Florida,Jacksonville,FL,(904) 993-2212,Aleksandra Lushi,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CAC1819950; address=9651 HOOD RD; zip=32257; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
Jax HVAC INC,Jacksonville / Northeast Florida,Ponte Vedra Beach,FL,(904) 249-1400,Mark A Lowery,,,5,"Florida summer AC season; high call volume, emergency demand, missed-call recovery angle",verify current license/status and call owner/manager with summer missed-call recovery script,New,license=CMC1250544; address=820 AIA N HW 4; zip=32082; source_pdf=/root/ai-holding-company/first-business-missed-call-recovery/sources/lee_county_hvac.pdf
